Issue Type,Epic Name,Epic Link,Summary,Description,Priority
Epic,User Authentication,,User Authentication,Features related to User Authentication and Authorization.,Highest
Story,,User Authentication,UC-01 Login System,"Allows Academic Admin, Teacher, and Center Director to securely log into CLS using email and password credentials. The system validates credentials, tracks login activity, and redirects users to the appropriate dashboard based on their role.",Highest
Story,,User Authentication,UC-02 Reset Password,"Allows authenticated users to reset their forgotten password via a verification email link. The system sends a password reset token to the registered email address and allows the user to set a new password within a time-limited window.",High
Epic,Learner Management,,Learner Management,Learner Profile and Lifecycle Management,Highest
Story,,Learner Management,UC-03 Enroll New Learner,"Allows the Academic Admin to register a new learner into the system by entering personal details, Parent (Sponsor) contact information, and initial Learning Package selection. Upon successful enrollment, parent email is stored for automated Notification dispatch.",Highest
Story,,Learner Management,UC-04 View Learner List,"Allows the Academic Admin and Center Director to view, search, filter, and sort the list of all learners. The list displays learner name, status (Active / Inactive / Withdrawn), assigned Learning Package, remaining sessions, and associated Parent contact.",High
Story,,Learner Management,UC-05 Update Learner Profile,"Allows the Academic Admin to modify a learner's personal details, parent contact information, or enrollment status. Status transitions include Active -> Inactive, Active -> Withdrawn, and Inactive -> Active, following the center's operational policy.",Medium
Epic,Learning Package Management,,Learning Package Management,Tuition and Learning Package Management,Highest
Story,,Learning Package Management,UC-06 Create Learning Package,"Allows the Academic Admin to define a new Learning Package with attributes: package name, total number of sessions (or duration in months), tuition fee amount, and applicable subject area (English / Kids Coding).",Highest
Story,,Learning Package Management,UC-07 Assign Learning Package to Learner,"Allows the Academic Admin to assign or renew a Learning Package for a specific learner. The system records the assignment date, calculates the expected expiration date, and initializes the remaining session counter for attendance deduction tracking.",Highest
Story,,Learning Package Management,UC-08 Track Package Remaining Sessions,"Allows the Academic Admin to monitor real-time remaining sessions for each learner's Learning Package. Each recorded attendance automatically decrements the session counter. Supports filtering by expiry urgency and package type.",High
Story,,Learning Package Management,UC-09 Receive Package Expiry Alert,"The system automatically generates an in-app alert to the Academic Admin exactly 2 weeks before a learner's Learning Package is fully depleted. This enables proactive outreach for renewal.",Medium
Epic,Session Scheduling,,Session Scheduling,Class and Session Scheduling,Highest
Story,,Session Scheduling,UC-10 Create Session Schedule,"Allows the Academic Admin to schedule a new session by specifying date, time slot, classroom, assigned Teacher, subject, and the list of enrolled learners. Before saving, the system runs the Scheduling Conflict detection algorithm to prevent Teacher or room double-booking.",Highest
Story,,Session Scheduling,UC-11 Update Session Schedule,"Allows the Academic Admin to modify an existing session's date, time, room, or Teacher assignment. The system re-validates all conflict rules upon each update. If any change affects the Parent-facing schedule, the system automatically triggers a Schedule Change Notification email.",High
Story,,Session Scheduling,UC-12 View Session Timetable,"Allows Academic Admin, Teacher, and Center Director to view the weekly/monthly session timetable. Teachers see only their own assigned sessions. Academic Admin and Center Director can view the full center-wide schedule with room utilization overview.",High
Story,,Session Scheduling,UC-13 Detect Scheduling Conflict,"The system automatically validates every session creation or update against conflict-detection rules: (1) No two sessions can occupy the same room at the same time, (2) No Teacher can be assigned to overlapping sessions.",Highest
Epic,Attendance Management,,Attendance Management,Attendance Tracking and History,Highest
Story,,Attendance Management,UC-14 Record Session Attendance,"Allows the Academic Admin (or Teacher) to mark each learner as Present, Absent, or Late for a specific session. Upon saving, the system: (1) decrements the learner's remaining sessions, (2) automatically triggers an Attendance Notification email to the Parent, and (3) logs the attendance record.",Highest
Story,,Attendance Management,UC-15 View Attendance History,"Allows the Academic Admin and Center Director to view the attendance history of any learner, filterable by date range, session, or Teacher. Provides summary statistics including total sessions attended, absence rate, and attendance trend visualization.",Medium
Epic,Teacher Feedback,,Teacher Feedback,Post-Session Teacher Feedback Compliance,High
Story,,Teacher Feedback,UC-16 Submit Session Feedback,"Allows the Teacher to compose and submit an academic Feedback entry for each learner after a session. The SLA mandates submission within 12 hours post-session. The Feedback form includes fields for academic performance rating, behavioral notes, and improvement recommendations.",Highest
Story,,Teacher Feedback,UC-17 View Feedback History,"Allows the Academic Admin, Teacher, and Center Director to view historical Feedback entries for any learner, filterable by date range, Teacher, or session.",Medium
Story,,Teacher Feedback,UC-18 Receive Feedback SLA Reminder,"The system automatically sends a reminder notification to the Teacher if a session Feedback has not been submitted within 8 hours post-session (warning) and again at the 12-hour SLA deadline.",High
Epic,Parent Notification Engine,,Parent Notification Engine,Automated Email Notifications to Parents,High
Story,,Parent Notification Engine,UC-19 Send Attendance Notification,"The system automatically dispatches an email to the Parent immediately after attendance is recorded for their child. The email includes session date, time, Teacher name, and attendance status.",High
Story,,Parent Notification Engine,UC-20 Send Schedule Change Notification,"The system automatically dispatches an email to the Parent whenever a session involving their child is modified (change of date, time, room, or Teacher).",High
Story,,Parent Notification Engine,UC-21 Send Feedback Report to Parent,"The system automatically dispatches an email to the Parent after the Teacher submits a session Feedback for their child. The email contains the Teacher's academic evaluation, performance notes, and any improvement recommendations.",High
Story,,Parent Notification Engine,UC-22 Send Package Expiry Notification,"The system automatically dispatches an email to the Parent when their child's Learning Package remaining sessions reach the 2-week threshold.",Medium
Epic,Dashboard & Reports,,Dashboard & Reports,Operational Dashboards and Reports,Medium
Story,,Dashboard & Reports,UC-23 View Admin Operational Dashboard,"Provides the Academic Admin with a centralized dashboard displaying: today's session schedule, pending attendance entries, overdue Feedback submissions, upcoming Learning Package expirations, and recent Notification delivery status.",High
Story,,Dashboard & Reports,UC-24 View Center Director Dashboard,"Provides the Center Director with a high-level strategic dashboard displaying: total active learners, learner churn rate trends, revenue from Learning Packages, session utilization rates, Teacher workload distribution, and Feedback SLA compliance percentage.",High
Story,,Dashboard & Reports,UC-25 Export Operational Reports,"Allows the Academic Admin and Center Director to export attendance summaries, learner status lists, package expiry timelines, and Feedback compliance reports as downloadable files (PDF / Excel) for offline review.",Medium
Epic,System Administration,,System Administration,Master Data and User Administration,Highest
Story,,System Administration,UC-26 Manage User Accounts,"Allows the Academic Admin to create, update, activate, or deactivate user accounts for Teachers and other Academic Admin staff. Each account is assigned a role (Academic Admin / Teacher / Center Director) which determines system access permissions.",Highest
Story,,System Administration,UC-27 Manage Master Data,"Allows the Academic Admin to manage system-wide configuration data including: classroom definitions (name, capacity), time slot templates, subject categories (English / Kids Coding), and notification email templates.",Highest
